Imaged	Individual	Seg.ID	Seg	Scac	Sp.sum	Stb.sum	Population	Origin	Latitude	Longitude	Year	Month
Jan-20	MDF37.9	MDF37.9	9	34	36	112	Migdale	Migdale	57.886291	-4.248497	2018	6
Sep-20	N106-Y	N106-Y.10	10	20	31	100	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N106-Y	N106-Y.9	9	31	29	83	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N308-DBDB	N308-DBDB-L.10	10	20	38	130	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N308-DBDB	N308-DBDB-L.9	9	32	27	113	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N320-W	N320-W.10	10	17	18	100	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N320-W	N320-W.9	9	27	24	87	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N327-W	N-327-W.10	10	28	27	97	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N327-W	N327-W.9	9	36	20	73	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N333-LGLG	N333-LGLG.10	10	6	33	92	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N333-LGLG	N333-LGLG.9	9	4	24	81	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N334-W-2	N334-W-2.10	10	19	25	84	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N334-W-2	N334-W-2.9	9	45	25	66	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N335-WW	N335-WW.10	10	20	46	110	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N335-WW	N335-WW.9	9	37	28	81	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N346-LBLBLB	N346-LBLBLB.10	10	25	34	85	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N346-LBLBLB	N346-LBLBLB.9	9	33	34	101	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N369-LBLBLB	N369-LBLBLB.10	10	28	32	104	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N369-LBLBLB	N369-LBLBLB.9	9	36	22	83	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N377-LGLG	N377-LGLG.10	10	6	42	116	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N377-LGLG	N377-LGLG.9	9	2	36	77	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N381-LB	N381-LB.10	10	25	52	106	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N381-LB	N381-LB.9	9	35	27	77	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N386-W	N386-W.10	10	24	43	119	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N386-W	N386-W.9	9	24	20	91	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N389-RR	N389-RR.10	10	13	28	106	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
Sep-20	N389-RR	N389-RR.9	9	28	33	108	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
Sep-20	N392-W	N392.W.10	10	22	44	113	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N392-W	N392.W.9	9	42	29	79	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N393-W	N393-W.10	10	25	62	146	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N394-W	N394-W.10	10	29	37	81	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N394-W	N394-W.9	9	28	22	78	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N397-W	N397-W.10	10	2	26	118	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N397-W	N397-W.9	9	24	31	80	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N398-W	N398-W.10	10	18	27	96	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N398-W	N398-W.9	9	36	25	90	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N57-WBrW	N57-WBrW.10	10	18	31	108	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N57-WBrW	N57-WBrW.9	9	21	28	90	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N78-W	N78-W-L.10	10	18	29	111	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	N78-W	N78-W-L.9	9	32	29	75	Migdale-Knepp	Knepp	55.413044	-1.729639	2020	8
Sep-20	NC-RR	NC-RR-10	10	23	45	106	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
Sep-20	NC-RR	NC-RR-9	9	32	22	87	Migdale-Knepp	Migdale	55.413044	-1.729639	2020	8
												
												
												
												
												
